"","country","ISO3_Code","model_name","Scientific_Name","environment","fao_fishing_area","production","national_production","farm_name","prop_production"
"534","China, Hong Kong SAR","HKG","grouper","Epinephelus coioides","Marine","Pacific, Northwest",31.1957142857143,1311.86714285714,"Other",0.0237796292525267
"535","Russian Federation","RUS","general_salmonid","Oncorhynchus mykiss","Marine","Mediterranean and Black Sea",2541.5,103803.65,"Salmonidae fish",0.0244837248015845
"536","Morocco","MAR","mussels","Mytilidae","Marine","Atlantic, Eastern Central",32.3802,1318.78186666667,"Other",0.0245531128524262
"537","United Arab Emirates","ARE","barramundi","Lates calcarifer","Marine","Indian Ocean, Western",67,2727.95552380952,"Other",0.0245605177266366
"538","Morocco","MAR","snappers","Chrysophrys auratus","Marine","Atlantic, Eastern Central",33.0853333333333,1318.78186666667,"Other",0.0250877981943741
"539","Qatar","QAT","breams_porgies","Acanthopagrus latus","Marine","Indian Ocean, Western",0.405714285714286,16.132380952381,"Other",0.0251490642895094
"540","Taiwan Province of China","TWN","general_fish","Seriola spp","Marine","Pacific, Northwest",587.085142857143,23210.4990952381,"Other",0.0252939473833887
"541","Greece","GRC","general_fish","Argyrosomus regius","Marine","Mediterranean and Black Sea",3351.59714285714,131967.969585714,"Other",0.0253970501582981
"542","Republic of Korea","KOR","mussels","Mytilus unguiculatus","Marine","Pacific, Northwest",58606.7547142857,2266404.24630238,"Other",0.0258589149794888
"543","Namibia","NAM","mussels","Mytilus galloprovincialis","Marine","Atlantic, Southeast",8.86,337.415119047619,"Other",0.0262584558303376
"544","Russian Federation","RUS","oysters","Crassostrea spp","Marine","Pacific, Northwest",2751.71428571429,103803.65,"Other",0.0265088393877699
"545","Greece","GRC","breams_porgies","Pagrus pagrus","Marine","Mediterranean and Black Sea",3567.55842857143,131967.969585714,"Other",0.027033517601059
"546","Croatia","HRV","general_fish","Actinopterygii","Marine","Mediterranean and Black Sea",543.915,19986.0245238095,"Other",0.0272147669663884
"547","Brunei Darussalam","BRN","general_fish","Lutjanus spp","Marine","Pacific, Western Central",10.9072857142857,393.83725,"Other",0.0276949062443578
"548","New Caledonia","NCL","rabbitfish","Siganus lineatus","Marine","Pacific, Western Central",2.7656,99.1139333333333,"Other",0.0279032413202584
"549","Mexico","MEX","oysters","Crassostrea virginica","Marine","Atlantic, Western Central",732.587666666667,26076.2340595238,"Other",0.0280940746656285
"550","France","FRA","mussels","Mytilus galloprovincialis","Marine","Mediterranean and Black Sea",4502.56057142857,153925.758804762,"Other",0.0292515080412212
"551","Taiwan Province of China","TWN","grouper","Epinephelus spp","Marine","Pacific, Northwest",680.897285714286,23210.4990952381,"Other",0.0293357451263932
"552","Brunei Darussalam","BRN","trevally","Caranx spp","Marine","Pacific, Western Central",11.5695714285714,393.83725,"Other",0.0293765290829433
"553","Australia","AUS","mussels","Mytilus planulatus","Marine","Indian Ocean, Eastern",2766.92557142857,94141.3358428571,"Other",0.0293911866307823
"554","Taiwan Province of China","TWN","general_fish","Actinopterygii","Marine","Pacific, Northwest",692.542857142857,23210.4990952381,"Other",0.0298374823523265
"555","Singapore","SGP","tilapia","Oreochromis mossambicus","Marine","Pacific, Western Central",127.414428571429,4174.23357142857,"Other",0.0305240294753853
"556","Mexico","MEX","bass","Morone saxatilis","Marine","Pacific, Eastern Central",804.184333333333,26076.2340595238,"Other",0.030839742099938
"557","Viet Nam","VNM","general_seaweed","Gracilaria spp","Marine","Pacific, Western Central",11066.6985714286,354879.191857143,"Other",0.0311844109921313
"558","China","CHN","general_seaweed","Phaeophyceae","Marine","Pacific, Northwest",1170478.57142857,37340268.6414286,"Other",0.0313462814814872
"559","Spain","ESP","tuna","Thunnus thynnus","Marine","Mediterranean and Black Sea",8313.33828571429,264035.123892857,"Other",0.0314857287286057
"560","Palau","PLW","clams","Tridacna derasa","Marine","Pacific, Western Central",0.2,6.3,"Other",0.0317460317460317
"561","Palau","PLW","clams","Tridacna maxima","Marine","Pacific, Western Central",0.2,6.3,"Other",0.0317460317460317
"562","Japan","JPN","general_seaweed","Saccharina japonica","Marine","Pacific, Northwest",30883.1428571429,936255.171428571,"Other",0.0329858181824729
"563","Singapore","SGP","general_fish","Lutjanus erythropterus","Marine","Pacific, Western Central",138.002571428571,4174.23357142857,"Other",0.0330605772454036
"564","Australia","AUS","oysters","Magallana gigas","Marine","Indian Ocean, Eastern",3138.71042857143,94141.3358428571,"Other",0.0333404067455622
"565","Australia","AUS","oysters","Ostreidae","Marine","Indian Ocean, Eastern",3189.83085714286,94141.3358428571,"Other",0.033883424625155
"566","France","FRA","oysters","Magallana gigas","Marine","Mediterranean and Black Sea",5270.42714285714,153925.758804762,"Other",0.034240059518187
"567","Spain","ESP","breams_porgies","Sparus aurata","Marine","Mediterranean and Black Sea",9169.78142857143,264035.123892857,"Other",0.0347293999880578
"568","Finland","FIN","general_fish","Coregonus lavaretus","Marine","Atlantic, Northeast",445.7,12539.3028571429,"Other",0.0355442407825817
"569","Australia","AUS","oysters","Ostreidae","Marine","Pacific, Southwest",3453.71428571429,94141.3358428571,"Other",0.0366864805432473
"570","China","CHN","clams","Sinonovacula constricta","Marine","Pacific, Northwest",1371623.57142857,37340268.6414286,"Other",0.0367330932886426
"571","Morocco","MAR","bass","Dicentrarchus labrax","Marine","Atlantic, Eastern Central",48.466,1318.78186666667,"Other",0.0367505811423552
"572","Australia","AUS","general_fish","Actinopterygii","Marine","Indian Ocean, Eastern",3463.442,94141.3358428571,"Other",0.0367898114998204
"573","Croatia","HRV","general_fish","Argyrosomus regius","Marine","Mediterranean and Black Sea",748.156333333333,19986.0245238095,"Other",0.037433974547667
"574","Canada","CAN","oysters","Crassostrea spp","Marine","Atlantic, Northwest",6397.71428571429,169568,"Other",0.0377294907394926
"575","China, Hong Kong SAR","HKG","jack_pompano","Trachinotus blochii","Marine","Pacific, Northwest",50.1485714285714,1311.86714285714,"Other",0.0382268674854923
"576","Slovenia","SVN","general_bivalves","Bivalvia","Marine","Mediterranean and Black Sea",27.75,699.829047619048,"Other",0.0396525409947055
"577","Finland","FIN","general_salmonid","Salmoniformes (=Salmonoidei)","Marine","Atlantic, Northeast",499.96,12539.3028571429,"Salmonidae fish",0.0398714350945917
"578","Singapore","SGP","grouper","Epinephelus spp","Marine","Pacific, Western Central",167.478714285714,4174.23357142857,"Other",0.0401220275338826
"579","Viet Nam","VNM","general_fish","Actinopterygii","Marine","Pacific, Western Central",14817.3691428571,354879.191857143,"Other",0.0417532768413818
"580","Philippines","PHL","general_seaweed","Eucheuma denticulatum","Marine","Pacific, Western Central",70834.2684285714,1684667.3459881,"Other",0.0420464423420195
"581","Croatia","HRV","mussels","Mytilus galloprovincialis","Marine","Mediterranean and Black Sea",861.413142857143,19986.0245238095,"Other",0.0431007748354824
"582","Canada","CAN","oysters","Crassostrea spp","Marine","Pacific, Northeast",7406,169568,"Other",0.0436756935270806
"583","Dominican Republic","DOM","tilapia","Oreochromis spp","Marine","Atlantic, Western Central",20,448,"Other",0.0446428571428571
"584","Russian Federation","RUS","sea_cucumber","Apostichopus japonicus","Marine","Pacific, Northwest",4638.71428571429,103803.65,"Other",0.0446873909126922
"585","Portugal","PRT","bass","Dicentrarchus labrax","Marine","Atlantic, Northeast",610.024285714286,13263.517647619,"Other",0.0459926470429051
"586","United Arab Emirates","ARE","oysters","Magallana gigas","Marine","Indian Ocean, Western",132.142857142857,2727.95552380952,"Other",0.0484402535120231
"587","Taiwan Province of China","TWN","cobia_ling","Rachycentron canadum","Marine","Pacific, Northwest",1133.92514285714,23210.4990952381,"Other",0.0488539750138238
"588","Namibia","NAM","general_seaweed","Gracilaria spp","Marine","Atlantic, Southeast",16.6666666666667,337.415119047619,"Other",0.0493951388832535
"589","China","CHN","scallops","Pectinidae","Marine","Pacific, Northwest",1853747.42857143,37340268.6414286,"Other",0.0496447266186703
"590","Netherlands (Kingdom of the)","NLD","oysters","Magallana gigas","Marine","Atlantic, Northeast",1915.68571428571,38530.0285714286,"Other",0.0497192912985864
"591","Chile","CHL","general_salmonid","Oncorhynchus mykiss","Marine","Pacific, Southeast",70868.6157142857,1410104.90385714,"Salmonidae fish",0.0502576904175247
"592","Japan","JPN","general_seaweed","Undaria pinnatifida","Marine","Pacific, Northwest",48756.8571428571,936255.171428571,"Other",0.0520764623051024
"593","Cambodia","KHM","barramundi","Lates calcarifer","Marine","Pacific, Western Central",821.285714285714,15406.6142857143,"Other",0.0533073457318424
"594","Spain","ESP","bass","Dicentrarchus labrax","Marine","Mediterranean and Black Sea",14080.3935714286,264035.123892857,"Other",0.0533277291438781
"595","China","CHN","general_seaweed","Undaria pinnatifida","Marine","Pacific, Northwest",1991747.14285714,37340268.6414286,"Other",0.0533404609908811
"596","New Caledonia","NCL","general_fish","Lutjanus sebae","Marine","Pacific, Western Central",5.35083333333333,99.1139333333333,"Other",0.0539866914103567
"597","China","CHN","general_seaweed","Porphyra spp","Marine","Pacific, Northwest",2051664.28571429,37340268.6414286,"Other",0.0549450863735348
"598","Norway","NOR","general_salmonid","Oncorhynchus mykiss","Marine","Atlantic, Northeast",83492.1587142857,1511209.72928571,"Salmonidae fish",0.0552485582221264
"599","Jersey","JEY","mussels","Mytilus edulis","Marine","Atlantic, Northeast",82.1565714285714,1481.37747619048,"Other",0.0554595791748137
"600","Tunisia","TUN","tuna","Thunnus thynnus","Marine","Mediterranean and Black Sea",1251.6,21888.9955714286,"Other",0.0571794167491951
"601","China, Hong Kong SAR","HKG","general_fish","Lutjanus spp","Marine","Pacific, Northwest",76.0442857142857,1311.86714285714,"Other",0.0579664534845101
"602","Israel","ISR","drums","Sciaenops ocellatus","Marine","Mediterranean and Black Sea",175,2981,"Other",0.0587051325058705
"603","Cook Islands","COK","general_bivalves","Asaphis violascens","Marine","Pacific, Eastern Central",0.5,8.5,"Other",0.0588235294117647
"604","Slovenia","SVN","breams_porgies","Sparus aurata","Marine","Mediterranean and Black Sea",41.8666666666667,699.829047619048,"Other",0.0598241339211413
"605","Malaysia","MYS","general_bivalves","Tegillarca granosa","Marine","Indian Ocean, Eastern",15546.7614285714,258189.336988095,"Other",0.0602145758997331
"606","Montenegro","MNE","oysters","Ostrea edulis","Marine","Mediterranean and Black Sea",21.5714285714286,354.142857142857,"Other",0.0609116579265833
"607","Singapore","SGP","jack_pompano","Trachinotus blochii","Marine","Pacific, Western Central",254.601857142857,4174.23357142857,"Other",0.060993677710211
"608","Brazil","BRA","general_seaweed","Kappaphycus alvarezii","Marine","Atlantic, Southwest",940,15334.4745714286,"Other",0.0612997853706329
"609","Bahrain","BHR","breams_porgies","Sparidentex hasta","Marine","Indian Ocean, Western",1,16,"Other",0.0625
"610","United Kingdom of Great Britain and Northern Ireland","GBR","mussels","Mytilidae","Marine","Atlantic, Northeast",13330.0228571429,204097.140142857,"Other",0.0653121491453165
"611","Mexico","MEX","oysters","Crassostrea spp","Marine","Pacific, Eastern Central",1709.05,26076.2340595238,"Other",0.0655405223046694
"612","United States of America","USA","atlantic_salmon","Salmo salar","Marine","Atlantic, Northwest",13647.441,208164.464857143,"Salmonidae fish",0.0655608583788104
"613","Algeria","DZA","mussels","Mytilus galloprovincialis","Marine","Mediterranean and Black Sea",171.265142857143,2607.63628571429,"Other",0.0656783094311904
"614","United Republic of Tanzania, Zanzibar","EAZ","general_seaweed","Ulva lactuca","Marine","Indian Ocean, Western",7752,111673.91,"Other",0.0694163927814473
"615","Japan","JPN","breams_porgies","Pagrus major","Marine","Pacific, Northwest",65341.2857142857,936255.171428571,"Other",0.0697900398398715
"616","Slovenia","SVN","general_fish","Actinopterygii","Marine","Mediterranean and Black Sea",50,699.829047619048,"Other",0.0714460198102802
"617","Brazil","BRA","oysters","Crassostrea spp","Marine","Atlantic, Southwest",1155.71428571429,15334.4745714286,"Other",0.0753670613447448
"618","Dominican Republic","DOM","general_fish","Argyrosomus regius","Marine","Atlantic, Western Central",35,448,"Other",0.078125
"619","Italy","ITA","bass","Dicentrarchus labrax","Marine","Mediterranean and Black Sea",5719.33857142857,71954.7164285714,"Other",0.0794852492693247
"620","United Arab Emirates","ARE","atlantic_salmon","Salmo salar","Marine","Indian Ocean, Western",220,2727.95552380952,"Salmonidae fish",0.0806464761173142
"621","France","FRA","oysters","Ostrea edulis","Marine","Atlantic, Northeast",12814.3098571429,153925.758804762,"Other",0.0832499378703497
"622","Israel","ISR","bass","Dicentrarchus labrax","Marine","Mediterranean and Black Sea",250,2981,"Other",0.0838644750083865
"623","Cambodia","KHM","general_seaweed","Eucheuma spp","Marine","Pacific, Western Central",1315.71428571429,15406.6142857143,"Other",0.085399313652856
"624","Singapore","SGP","mussels","Perna viridis","Marine","Pacific, Western Central",356.940571428571,4174.23357142857,"Other",0.0855104452879032
"625","Australia","AUS","tuna","Thunnus maccoyii","Marine","Indian Ocean, Eastern",8088.42857142857,94141.3358428571,"Other",0.0859179286018414
"626","Philippines","PHL","milkfish","Chanos chanos","Marine","Pacific, Western Central",144931.040714286,1684667.3459881,"Other",0.0860294710759532
"627","Canada","CAN","general_fish","Actinopterygii","Marine","Atlantic, Northwest",14776.7142857143,169568,"Other",0.0871432952309061
"628","Panama","PAN","jack_pompano","Trachinotus carolinus","Marine","Atlantic, Western Central",244.033333333333,2768.5619047619,"Other",0.0881444380613624
"629","Slovenia","SVN","bass","Dicentrarchus labrax","Marine","Mediterranean and Black Sea",62.3428571428571,699.829047619048,"Other",0.0890829801291608
"630","Portugal","PRT","oysters","Crassostrea spp","Marine","Atlantic, Northeast",1186.58342857143,13263.517647619,"Other",0.0894621969899843
"631","Türkiye","TUR","general_salmonid","Oncorhynchus mykiss","Marine","Mediterranean and Black Sea",26402.5714285714,291018.271428571,"Salmonidae fish",0.0907247895431602
"632","Marshall Islands","MHL","clams","Tridacna maxima","Marine","Pacific, Western Central",0.6544,7.10154285714286,"Other",0.092148989756753
"633","Argentina","ARG","general_salmonid","Oncorhynchus mykiss","Marine","Atlantic, Southwest",4.08233333333333,43.6918571428571,"Salmonidae fish",0.0934346489320774
"634","Democratic People's Republic of Korea","PRK","general_bivalves","Bivalvia","Marine","Pacific, Northwest",62000,658515.714285714,"Other",0.0941511320914351
"635","Portugal","PRT","breams_porgies","Sparus aurata","Marine","Atlantic, Eastern Central",1283.199,13263.517647619,"Other",0.0967465067783394
"636","Israel","ISR","general_fish","Actinopterygii","Marine","Mediterranean and Black Sea",295,2981,"Other",0.098960080509896
"637","China","CHN","clams","Ruditapes philippinarum","Marine","Pacific, Northwest",3708896.57142857,37340268.6414286,"Other",0.099326992182204
"638","Morocco","MAR","clams","Ruditapes decussatus","Marine","Mediterranean and Black Sea",131.614333333333,1318.78186666667,"Other",0.099799926477606
"639","Italy","ITA","breams_porgies","Sparus aurata","Marine","Mediterranean and Black Sea",7282.05571428571,71954.7164285714,"Other",0.101203313357708
"640","Morocco","MAR","general_seaweed","Gracilaria gracilis","Marine","Mediterranean and Black Sea",136.904714285714,1318.78186666667,"Other",0.103811492822352
"641","Ecuador","ECU","cobia_ling","Rachycentron canadum","Marine","Pacific, Southeast",16.6666666666667,160.238095238095,"Other",0.104011887072808
"642","Albania","ALB","mussels","Mytilus galloprovincialis","Marine","Mediterranean and Black Sea",656.428571428571,6158.78571428571,"Other",0.106584090091971
"643","Brazil","BRA","oysters","Magallana gigas","Marine","Atlantic, Southwest",1653.33333333333,15334.4745714286,"Other",0.107818062212177
"644","Saint Vincent and the Grenadines","VCT","general_seaweed","Eucheuma spp","Marine","Atlantic, Western Central",1.1,9.985,"Other",0.110165247871808
"645","Singapore","SGP","mullets","Mugil cephalus","Marine","Pacific, Western Central",460.237714285714,4174.23357142857,"Other",0.11025681874534
"646","China","CHN","general_seaweed","Gracilaria spp","Marine","Pacific, Northwest",4160058.57142857,37340268.6414286,"Other",0.111409444087744
"647","Dominican Republic","DOM","cobia_ling","Rachycentron canadum","Marine","Atlantic, Western Central",50,448,"Other",0.111607142857143
"648","Kuwait","KWT","general_fish","Actinopterygii","Marine","Indian Ocean, Western",0.853333333333333,7.63,"Other",0.111839231105286
"649","Algeria","DZA","bass","Dicentrarchus labrax","Marine","Mediterranean and Black Sea",294.990714285714,2607.63628571429,"Other",0.11312571308422
"650","Cook Islands","COK","general_seaweed","Caulerpa racemosa","Marine","Pacific, Eastern Central",1,8.5,"Other",0.117647058823529
"651","New Zealand","NZL","general_salmonid","Oncorhynchus tshawytscha","Marine","Pacific, Southwest",13462.4285714286,110435.428571429,"Salmonidae fish",0.121903167720504
"652","United States of America","USA","clams","Mercenaria mercenaria","Marine","Atlantic, Northwest",25954.7425714286,208164.464857143,"Other",0.124683829150381
"653","Malta","MLT","breams_porgies","Sparus aurata","Marine","Mediterranean and Black Sea",2217.05114285714,17708.4821428571,"Other",0.12519713010815
